,Access to Medical Care,Civil Liberties,Civil Unrest,Conflict or Warfare,Crime,Cybersecurity,Infectious Diseases,Kidnapping or Hostage Taking,Natural Disasters,Terrorism,Wrongful Detention,Risk Tier,Risk Tier Meaning,Common Name,Risk Factors,Access to medical care,Civil liberties,Civil unrest,Conflict or warfare,Crime,Cybersecurity,Infectious diseases,Kidnapping or hostage taking,Natural disasters,Terrorism,Wrongful detention
Estonia,0,0,0,0,0,0,0,0,0,0,0,1,Standard,Estonia,None,Access to medical care is not normally a key risk consideration when traveling to Estonia. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to Estonia. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Estonia. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Estonia. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Estonia. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Estonia. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Estonia. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Estonia. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Estonia. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Estonia. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Estonia. Travelers should take normal precautions.
Eswatini,1,1,1,0,1,0,0,0,0,0,0,2,Moderate,Eswatini (Swaziland),"Access to Medical Care, Civil Liberties, Civil Unrest, Crime",Access to medical care is a key risk consideration when traveling to Eswatini (Swaziland). Travelers should take enhanced precautions.,Civil liberties is a key risk consideration when traveling to Eswatini (Swaziland). Travelers should take enhanced precautions.,Civil unrest is a key risk consideration when traveling to Eswatini (Swaziland). Travelers should take enhanced precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Eswatini (Swaziland). Travelers should take normal precautions.,Crime is a key risk consideration when traveling to Eswatini (Swaziland). Travelers should take enhanced precautions.,Cybersecurity is not normally a key risk consideration when traveling to Eswatini (Swaziland). Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Eswatini (Swaziland). Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Eswatini (Swaziland). Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Eswatini (Swaziland). Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Eswatini (Swaziland). Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Eswatini (Swaziland). Travelers should take normal precautions.
Ethiopia,1,1,1,1,1,1,1,1,0,1,0,4,Sustained,Ethiopia,"Access to Medical Care, Civil Liberties, Civil Unrest, Conflict or Warfare, Crime, Cybersecurity, Infectious Diseases, Kidnapping or Hostage Taking, Terrorism",Access to medical care is a key risk consideration when traveling to Ethiopia. Travelers should take enhanced precautions.,Civil liberties is a key risk consideration when traveling to Ethiopia. Travelers should take enhanced precautions.,Civil unrest is a key risk consideration when traveling to Ethiopia. Travelers should take enhanced precautions.,Conflict or warfare is a key risk consideration when traveling to Ethiopia. Travelers should take enhanced precautions.,Crime is a key risk consideration when traveling to Ethiopia. Travelers should take enhanced precautions.,Cybersecurity is a key risk consideration when traveling to Ethiopia. Travelers should take enhanced precautions.,Infectious diseases is a key risk consideration when traveling to Ethiopia. Travelers should take enhanced precautions.,Kidnapping or hostage taking is a key risk consideration when traveling to Ethiopia. Travelers should take enhanced precautions.,Natural disasters is not normally a key risk consideration when traveling to Ethiopia. Travelers should take normal precautions.,Terrorism is a key risk consideration when traveling to Ethiopia. Travelers should take enhanced precautions.,Wrongful detention is not normally a key risk consideration when traveling to Ethiopia. Travelers should take normal precautions.
Falkland Islands,0,0,0,0,0,0,0,0,0,0,0,1,Standard,Falkland Islands,None,Access to medical care is not normally a key risk consideration when traveling to Falkland Islands. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to Falkland Islands. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Falkland Islands. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Falkland Islands. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Falkland Islands. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Falkland Islands. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Falkland Islands. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Falkland Islands. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Falkland Islands. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Falkland Islands. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Falkland Islands. Travelers should take normal precautions.
Fiji,0,0,0,0,0,0,0,0,0,0,0,1,Standard,Fiji,None,Access to medical care is not normally a key risk consideration when traveling to Fiji. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to Fiji. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Fiji. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Fiji. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Fiji. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Fiji. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Fiji. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Fiji. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Fiji. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Fiji. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Fiji. Travelers should take normal precautions.
Finland,0,0,0,0,0,0,0,0,0,0,0,1,Standard,Finland,None,Access to medical care is not normally a key risk consideration when traveling to Finland. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to Finland. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Finland. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Finland. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Finland. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Finland. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Finland. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Finland. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Finland. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Finland. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Finland. Travelers should take normal precautions.
France,0,0,1,0,1,0,0,0,0,1,0,2,Moderate,France,"Civil Unrest, Crime, Terrorism",Access to medical care is not normally a key risk consideration when traveling to France. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to France. Travelers should take normal precautions.,Civil unrest is a key risk consideration when traveling to France. Travelers should take enhanced precautions.,Conflict or warfare is not normally a key risk consideration when traveling to France. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to France. Travelers should take enhanced precautions.,Cybersecurity is not normally a key risk consideration when traveling to France. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to France. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to France. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to France. Travelers should take normal precautions.,Terrorism is a key risk consideration when traveling to France. Travelers should take enhanced precautions.,Wrongful detention is not normally a key risk consideration when traveling to France. Travelers should take normal precautions.
French Guiana,0,0,0,0,0,0,0,0,0,0,0,1,Standard,French Guiana,None,Access to medical care is not normally a key risk consideration when traveling to French Guiana. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to French Guiana. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to French Guiana. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to French Guiana. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to French Guiana. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to French Guiana. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to French Guiana. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to French Guiana. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to French Guiana. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to French Guiana. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to French Guiana. Travelers should take normal precautions.
French Polynesia,0,0,0,0,0,0,1,0,0,0,0,1,Standard,French Polynesia,Infectious Diseases,Access to medical care is not normally a key risk consideration when traveling to French Polynesia. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to French Polynesia. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to French Polynesia. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to French Polynesia. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to French Polynesia. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to French Polynesia. Travelers should take normal precautions.,Infectious diseases is a key risk consideration when traveling to French Polynesia. Travelers should take enhanced precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to French Polynesia. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to French Polynesia. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to French Polynesia. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to French Polynesia. Travelers should take normal precautions.
French Southern and Antarctic Lands,0,0,0,0,0,0,0,0,0,0,0,1,Standard,French Southern and Antarctic Lands,None,Access to medical care is not normally a key risk consideration when traveling to French Southern and Antarctic Lands. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to French Southern and Antarctic Lands. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to French Southern and Antarctic Lands. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to French Southern and Antarctic Lands. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to French Southern and Antarctic Lands. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to French Southern and Antarctic Lands. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to French Southern and Antarctic Lands. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to French Southern and Antarctic Lands. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to French Southern and Antarctic Lands. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to French Southern and Antarctic Lands. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to French Southern and Antarctic Lands. Travelers should take normal precautions.
Gabon,1,1,1,0,1,0,0,0,0,0,0,1,Standard,Gabon,"Access to Medical Care, Civil Liberties, Civil Unrest, Crime",Access to medical care is a key risk consideration when traveling to Gabon. Travelers should take enhanced precautions.,Civil liberties is a key risk consideration when traveling to Gabon. Travelers should take enhanced precautions.,Civil unrest is a key risk consideration when traveling to Gabon. Travelers should take enhanced precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Gabon. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to Gabon. Travelers should take enhanced precautions.,Cybersecurity is not normally a key risk consideration when traveling to Gabon. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Gabon. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Gabon. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Gabon. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Gabon. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Gabon. Travelers should take normal precautions.
The Gambia,1,1,0,0,1,0,1,0,0,0,0,2,Moderate,The Gambia,"Access to Medical Care, Civil Liberties, Crime, Infectious Diseases",Access to medical care is a key risk consideration when traveling to The Gambia. Travelers should take enhanced precautions.,Civil liberties is a key risk consideration when traveling to The Gambia. Travelers should take enhanced precautions.,Civil unrest is not normally a key risk consideration when traveling to The Gambia. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to The Gambia. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to The Gambia. Travelers should take enhanced precautions.,Cybersecurity is not normally a key risk consideration when traveling to The Gambia. Travelers should take normal precautions.,Infectious diseases is a key risk consideration when traveling to The Gambia. Travelers should take enhanced precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to The Gambia. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to The Gambia. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to The Gambia. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to The Gambia. Travelers should take normal precautions.
Georgia,1,1,1,1,1,1,1,0,0,0,0,3,Elevated,Georgia,"Access to Medical Care, Civil Liberties, Civil Unrest, Conflict or Warfare, Crime, Cybersecurity, Infectious Diseases",Access to medical care is a key risk consideration when traveling to Georgia. Travelers should take enhanced precautions.,Civil liberties is a key risk consideration when traveling to Georgia. Travelers should take enhanced precautions.,Civil unrest is a key risk consideration when traveling to Georgia. Travelers should take enhanced precautions.,Conflict or warfare is a key risk consideration when traveling to Georgia. Travelers should take enhanced precautions.,Crime is a key risk consideration when traveling to Georgia. Travelers should take enhanced precautions.,Cybersecurity is a key risk consideration when traveling to Georgia. Travelers should take enhanced precautions.,Infectious diseases is a key risk consideration when traveling to Georgia. Travelers should take enhanced precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Georgia. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Georgia. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Georgia. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Georgia. Travelers should take normal precautions.
Germany,0,0,0,0,1,0,0,0,0,1,0,1,Standard,Germany,"Crime, Terrorism",Access to medical care is not normally a key risk consideration when traveling to Germany. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to Germany. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Germany. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Germany. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to Germany. Travelers should take enhanced precautions.,Cybersecurity is not normally a key risk consideration when traveling to Germany. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Germany. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Germany. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Germany. Travelers should take normal precautions.,Terrorism is a key risk consideration when traveling to Germany. Travelers should take enhanced precautions.,Wrongful detention is not normally a key risk consideration when traveling to Germany. Travelers should take normal precautions.
Ghana,1,1,1,0,1,0,1,0,0,0,0,1,Standard,Ghana,"Access to Medical Care, Civil Liberties, Civil Unrest, Crime, Infectious Diseases",Access to medical care is a key risk consideration when traveling to Ghana. Travelers should take enhanced precautions.,Civil liberties is a key risk consideration when traveling to Ghana. Travelers should take enhanced precautions.,Civil unrest is a key risk consideration when traveling to Ghana. Travelers should take enhanced precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Ghana. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to Ghana. Travelers should take enhanced precautions.,Cybersecurity is not normally a key risk consideration when traveling to Ghana. Travelers should take normal precautions.,Infectious diseases is a key risk consideration when traveling to Ghana. Travelers should take enhanced precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Ghana. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Ghana. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Ghana. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Ghana. Travelers should take normal precautions.
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,1,Standard,Gibraltar,None,Access to medical care is not normally a key risk consideration when traveling to Gibraltar. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to Gibraltar. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Gibraltar. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Gibraltar. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Gibraltar. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Gibraltar. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Gibraltar. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Gibraltar. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Gibraltar. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Gibraltar. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Gibraltar. Travelers should take normal precautions.
Greece,0,0,0,0,1,0,0,0,0,0,0,1,Standard,Greece,Crime,Access to medical care is not normally a key risk consideration when traveling to Greece. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to Greece. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Greece. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Greece. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to Greece. Travelers should take enhanced precautions.,Cybersecurity is not normally a key risk consideration when traveling to Greece. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Greece. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Greece. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Greece. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Greece. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Greece. Travelers should take normal precautions.
GREENLAND (DEN.),1,0,0,0,0,0,0,0,1,0,0,1,Standard,Greenland,"Access to Medical Care, Natural Disasters",Access to medical care is a key risk consideration when traveling to Greenland. Travelers should take enhanced precautions.,Civil liberties is not normally a key risk consideration when traveling to Greenland. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Greenland. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Greenland. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Greenland. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Greenland. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Greenland. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Greenland. Travelers should take normal precautions.,Natural disasters is a key risk consideration when traveling to Greenland. Travelers should take enhanced precautions.,Terrorism is not normally a key risk consideration when traveling to Greenland. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Greenland. Travelers should take normal precautions.
Grenada,1,1,0,0,0,0,1,0,0,0,0,1,Standard,Grenada,"Access to Medical Care, Civil Liberties, Infectious Diseases",Access to medical care is a key risk consideration when traveling to Grenada. Travelers should take enhanced precautions.,Civil liberties is a key risk consideration when traveling to Grenada. Travelers should take enhanced precautions.,Civil unrest is not normally a key risk consideration when traveling to Grenada. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Grenada. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Grenada. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Grenada. Travelers should take normal precautions.,Infectious diseases is a key risk consideration when traveling to Grenada. Travelers should take enhanced precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Grenada. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Grenada. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Grenada. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Grenada. Travelers should take normal precautions.
Guadeloupe,0,0,0,0,0,0,1,0,0,0,0,1,Standard,Guadeloupe,Infectious Diseases,Access to medical care is not normally a key risk consideration when traveling to Guadeloupe. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to Guadeloupe. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Guadeloupe. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Guadeloupe. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Guadeloupe. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Guadeloupe. Travelers should take normal precautions.,Infectious diseases is a key risk consideration when traveling to Guadeloupe. Travelers should take enhanced precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Guadeloupe. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Guadeloupe. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Guadeloupe. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Guadeloupe. Travelers should take normal precautions.
Guatemala,0,1,0,0,1,0,1,0,0,0,0,3,Elevated,Guatemala,"Civil Liberties, Crime, Infectious Diseases",Access to medical care is not normally a key risk consideration when traveling to Guatemala. Travelers should take normal precautions.,Civil liberties is a key risk consideration when traveling to Guatemala. Travelers should take enhanced precautions.,Civil unrest is not normally a key risk consideration when traveling to Guatemala. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Guatemala. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to Guatemala. Travelers should take enhanced precautions.,Cybersecurity is not normally a key risk consideration when traveling to Guatemala. Travelers should take normal precautions.,Infectious diseases is a key risk consideration when traveling to Guatemala. Travelers should take enhanced precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Guatemala. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Guatemala. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Guatemala. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Guatemala. Travelers should take normal precautions.
Guinea,1,1,1,0,1,1,1,0,0,0,0,4,Sustained,Guinea,"Access to Medical Care, Civil Liberties, Civil Unrest, Crime, Cybersecurity, Infectious Diseases",Access to medical care is a key risk consideration when traveling to Guinea. Travelers should take enhanced precautions.,Civil liberties is a key risk consideration when traveling to Guinea. Travelers should take enhanced precautions.,Civil unrest is a key risk consideration when traveling to Guinea. Travelers should take enhanced precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Guinea. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to Guinea. Travelers should take enhanced precautions.,Cybersecurity is a key risk consideration when traveling to Guinea. Travelers should take enhanced precautions.,Infectious diseases is a key risk consideration when traveling to Guinea. Travelers should take enhanced precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Guinea. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Guinea. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Guinea. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Guinea. Travelers should take normal precautions.
Guinea-Bissau,1,1,1,0,1,0,0,0,0,0,0,4,Sustained,Guinea-Bissau,"Access to Medical Care, Civil Liberties, Civil Unrest, Crime",Access to medical care is a key risk consideration when traveling to Guinea-Bissau. Travelers should take enhanced precautions.,Civil liberties is a key risk consideration when traveling to Guinea-Bissau. Travelers should take enhanced precautions.,Civil unrest is a key risk consideration when traveling to Guinea-Bissau. Travelers should take enhanced precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Guinea-Bissau. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to Guinea-Bissau. Travelers should take enhanced precautions.,Cybersecurity is not normally a key risk consideration when traveling to Guinea-Bissau. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Guinea-Bissau. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Guinea-Bissau. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Guinea-Bissau. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Guinea-Bissau. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Guinea-Bissau. Travelers should take normal precautions.
Guyana,1,0,0,0,1,0,1,0,0,0,0,3,Elevated,Guyana,"Access to Medical Care, Crime, Infectious Diseases",Access to medical care is a key risk consideration when traveling to Guyana. Travelers should take enhanced precautions.,Civil liberties is not normally a key risk consideration when traveling to Guyana. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Guyana. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Guyana. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to Guyana. Travelers should take enhanced precautions.,Cybersecurity is not normally a key risk consideration when traveling to Guyana. Travelers should take normal precautions.,Infectious diseases is a key risk consideration when traveling to Guyana. Travelers should take enhanced precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Guyana. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Guyana. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Guyana. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Guyana. Travelers should take normal precautions.
Haiti,1,1,1,1,1,1,0,1,0,0,0,5,High,Haiti,"Access to Medical Care, Civil Liberties, Civil Unrest, Conflict or Warfare, Crime, Cybersecurity, Kidnapping or Hostage Taking",Access to medical care is a key risk consideration when traveling to Haiti. Travelers should take enhanced precautions.,Civil liberties is a key risk consideration when traveling to Haiti. Travelers should take enhanced precautions.,Civil unrest is a key risk consideration when traveling to Haiti. Travelers should take enhanced precautions.,Conflict or warfare is a key risk consideration when traveling to Haiti. Travelers should take enhanced precautions.,Crime is a key risk consideration when traveling to Haiti. Travelers should take enhanced precautions.,Cybersecurity is a key risk consideration when traveling to Haiti. Travelers should take enhanced precautions.,Infectious diseases is not normally a key risk consideration when traveling to Haiti. Travelers should take normal precautions.,Kidnapping or hostage taking is a key risk consideration when traveling to Haiti. Travelers should take enhanced precautions.,Natural disasters is not normally a key risk consideration when traveling to Haiti. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Haiti. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Haiti. Travelers should take normal precautions.
Honduras,0,1,0,0,1,0,1,1,0,0,0,3,Elevated,Honduras,"Civil Liberties, Crime, Infectious Diseases, Kidnapping or Hostage Taking",Access to medical care is not normally a key risk consideration when traveling to Honduras. Travelers should take normal precautions.,Civil liberties is a key risk consideration when traveling to Honduras. Travelers should take enhanced precautions.,Civil unrest is not normally a key risk consideration when traveling to Honduras. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Honduras. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to Honduras. Travelers should take enhanced precautions.,Cybersecurity is not normally a key risk consideration when traveling to Honduras. Travelers should take normal precautions.,Infectious diseases is a key risk consideration when traveling to Honduras. Travelers should take enhanced precautions.,Kidnapping or hostage taking is a key risk consideration when traveling to Honduras. Travelers should take enhanced precautions.,Natural disasters is not normally a key risk consideration when traveling to Honduras. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Honduras. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Honduras. Travelers should take normal precautions.
